71-89,66-70
24-70,23-55
19-85,18-86
50-90,50-95
55-55,56-72
03-65,05-66
98-99,66-99
14-67,14-14
04-79,78-79
13-98,10-98
27-78,77-78
22-28,22-27
84-99,98-99
07-96,99-99
33-54,34-54
29-45,44-44
18-48,57-78
89-95,89-93
39-53,63-99
13-95,94-95
07-43,07-42
16-16,16-96
41-68,68-87
83-83,73-82
65-95,64-71
05-98,05-95
51-54,50-99
33-39,36-74
09-73,10-86
20-31,21-59
12-27,11-12
10-96,07-11
55-71,70-77
13-97,03-14
05-99,05-05
25-98,25-98
81-94,81-94
26-42,49-74
77-98,31-77
08-77,06-08
48-61,60-61
11-14,13-52
97-97,01-96
48-83,48-82
44-76,75-93
21-89,20-89
10-68,09-91
02-79,78-80
10-97,96-97
09-11,10-76
44-45,45-97
34-57,27-56
12-88,12-87
16-77,16-16
74-84,14-75
22-36,21-85
15-70,09-70
81-97,03-81
24-97,23-79
08-54,54-55
18-73,17-74
22-79,39-79
02-03,02-73
01-90,01-90
59-96,19-96
31-71,31-31
62-63,63-64
15-92,91-93
73-74,18-78
64-96,65-96
05-07,06-64
96-98,02-97
62-81,51-62
38-40,33-39
26-96,21-95
31-86,30-87
11-94,02-11
03-53,30-52
28-77,27-98
17-48,44-69
09-89,01-89
42-97,42-99
01-03,02-93
16-17,17-21
95-99,14-96
51-99,52-57
28-35,28-35
30-90,76-91
04-97,04-04
78-92,14-57
74-97,75-97
15-94,14-94
29-68,29-69
01-95,02-30
06-84,98-99
12-72,71-72
05-06,05-30
19-63,63-72
04-99,03-99
05-61,62-62
35-55,34-56
11-58,75-87
04-98,03-98
33-34,34-77
56-94,55-95
08-78,99-99
19-20,19-90
58-90,43-57
87-94,22-84
20-50,49-60
14-15,16-90
07-93,07-89
07-97,07-07
04-88,04-89
35-49,48-56
53-85,55-94
05-66,04-06
17-78,19-78
06-28,28-66
55-88,91-98
21-22,21-94
18-42,17-42
04-98,06-98
10-96,97-99
25-89,89-93
05-98,01-05
62-77,63-73
12-37,11-38
17-29,17-29
51-62,45-61
86-87,44-86
33-88,22-33
89-89,14-88
89-89,53-81
61-63,59-64
56-75,55-75
21-93,20-90
81-82,81-82
08-86,87-96
03-99,04-98
30-30,30-33
03-59,02-59
58-72,07-70
45-67,16-45
14-37,13-13
29-47,14-46
02-85,01-03
61-98,81-86
16-35,17-80
04-92,04-92
10-38,11-97
92-93,20-93
40-53,41-53
28-84,03-35
11-96,06-36
57-81,57-82
77-86,06-77
04-67,04-67
55-57,56-76
26-27,27-45
44-47,44-46
07-98,06-99
10-51,09-87
10-41,10-10
07-37,07-90
55-97,54-54
21-97,20-64
64-85,44-53
31-47,46-59
67-78,68-95
27-95,26-66
11-82,54-83
52-75,24-67
13-84,06-84
37-48,33-41
27-28,28-57
23-95,86-95
08-08,08-28
27-74,26-28
56-82,42-56
09-59,14-59
26-62,61-94
01-02,01-88
83-92,97-98
13-91,13-30
42-96,95-96
43-97,34-97
45-82,15-69
90-90,65-91
25-89,26-26
16-36,15-15
14-80,79-79
49-72,49-50
19-47,18-88
07-46,07-23
14-24,24-80
02-02,03-98
02-99,02-99
14-44,14-14
25-27,06-27
28-96,27-97
24-75,23-81
10-74,13-75
61-62,13-62
94-95,96-98
22-24,22-82
10-10,10-81
37-77,76-77
10-32,18-32
08-79,07-07
45-46,45-77
16-21,16-20
08-45,44-57
19-61,18-61
09-67,09-66
04-86,01-86
49-63,48-63
39-83,23-82
03-67,18-67
74-84,83-83
32-77,33-77
14-55,05-49
59-73,26-73
15-55,16-83
19-19,20-43
59-60,32-60
30-58,33-39
09-76,09-76
67-81,21-68
37-37,28-38
64-75,63-84
05-91,11-88
41-95,37-96
46-76,76-87
39-82,40-82
92-95,02-93
92-93,01-93
04-97,04-98
31-75,30-75
97-98,02-97
78-78,40-77
36-36,36-41
05-93,04-94
29-92,29-92
41-88,42-92
09-50,47-51
16-87,16-16
18-63,62-63
89-92,90-95
80-81,16-81
03-34,04-34
13-97,96-98
01-93,92-94
34-88,35-87
97-98,43-97
41-76,42-69
28-33,27-46
01-35,03-99
09-95,10-94
15-99,15-92
93-94,01-94
42-92,43-94
91-98,71-90
19-50,47-50
24-91,94-99
10-98,11-98
42-87,86-86
18-92,48-92
52-52,05-51
73-80,32-74
43-46,39-50
41-45,40-44
48-86,49-68
55-67,56-67
34-94,34-34
16-72,17-71
27-75,33-75
03-34,33-34
27-70,70-71
85-97,31-84
46-46,21-47
01-98,97-99
